episode,epsilon_turn_p1,epsilon_turn_p2,epsilon_sel_p1,epsilon_sel_p2,p1_winrate,p2_winrate,drawrate,p1_damage_avg,p2_damage_avg,avg_turns,p1_reward_avg,p2_reward_avg,timestamp
0,0.49999,0.49999,0.49999,0.49999,100.0,0.0,0.0,56.0,45.0,6.0,224.66666666666669,-174.66666666666669,1787509895.952312
0,0.49999,0.49999,0.49999,0.49999,0.0,100.0,0.0,47.0,62.0,6.0,-151.88888888888889,143.88888888888889,1787511666.009936
0,0.49999,0.49999,0.49999,0.49999,100.0,0.0,0.0,70.0,60.0,12.0,152.0,-224.0,1787511955.0434074
