episode,replayed_count,player,network,loss,timestamp
8,1,p1,turn,18.407106399536133,1787509896.0844953
8,1,p2,turn,18.019453048706055,1787509896.1126282
9,2,p1,turn,20.321895599365234,1787509896.150672
9,2,p2,turn,16.589946746826172,1787509896.1768715
10,3,p1,turn,22.22241973876953,1787509896.2107115
10,3,p2,turn,20.841632843017578,1787509896.2394633
11,4,p1,turn,14.885390281677246,1787509896.2695973
11,4,p2,turn,14.0797758102417,1787509896.2830615
12,5,p1,turn,16.329349517822266,1787509896.3079252
12,5,p2,turn,15.481828689575195,1787509896.3212972
13,6,p1,turn,12.492996215820312,1787509896.338346
13,6,p2,turn,14.88434886932373,1787509896.352615
14,7,p1,turn,21.342622756958008,1787509896.3738172
14,7,p2,turn,17.12740135192871,1787509896.3877764
15,8,p1,turn,21.734909057617188,1787509896.4236002
15,8,p2,turn,21.12031364440918,1787509896.452591
16,9,p1,turn,14.390120506286621,1787509896.4754622
16,9,p2,turn,10.659220695495605,1787509896.515135
17,10,p1,turn,21.74970054626465,1787509896.5774276
17,10,p2,turn,17.88239860534668,1787509896.6124098
18,11,p1,turn,17.901947021484375,1787509896.6576374
18,11,p2,turn,17.786861419677734,1787509896.6967554
19,12,p1,turn,23.389299392700195,1787509896.7568803
19,12,p2,turn,16.09781265258789,1787509896.811931
20,13,p1,turn,20.237361907958984,1787509896.8640754
20,13,p2,turn,18.539030075073242,1787509896.899053
21,14,p1,turn,19.517894744873047,1787509896.9430606
21,1,p1,selection,82.19049072265625,1787509896.9536965
21,2,p1,selection,81.84308624267578,1787509896.9619238
21,3,p1,selection,82.68633270263672,1787509896.9711735
21,14,p2,turn,19.17868995666504,1787509897.0032933
21,1,p2,selection,86.76412963867188,1787509897.0110586
21,2,p2,selection,86.58335876464844,1787509897.020124
21,3,p2,selection,86.13709259033203,1787509897.0272138
22,15,p1,turn,19.46460723876953,1787509897.0648394
22,4,p1,selection,82.43057250976562,1787509897.07365
22,5,p1,selection,82.73304748535156,1787509897.0816317
22,6,p1,selection,81.62712097167969,1787509897.090268
22,15,p2,turn,13.888962745666504,1787509897.1217816
22,4,p2,selection,85.28366088867188,1787509897.129797
22,5,p2,selection,86.5134048461914,1787509897.1387143
22,6,p2,selection,85.70330810546875,1787509897.146911
23,16,p1,turn,21.390403747558594,1787509897.197323
23,7,p1,selection,82.47384643554688,1787509897.2069817
23,8,p1,selection,82.03912353515625,1787509897.2157311
23,9,p1,selection,82.47360229492188,1787509897.2253175
23,16,p2,turn,23.35279655456543,1787509897.260779
23,7,p2,selection,84.9312744140625,1787509897.2722259
23,8,p2,selection,84.4965591430664,1787509897.2816179
23,9,p2,selection,83.70619201660156,1787509897.2927082
24,17,p1,turn,14.156009674072266,1787509897.3413346
24,10,p1,selection,82.49412536621094,1787509897.3508294
